question,references,corpus_id
"Who conducted the DNA analysis to determine the evolutionary path of Borneo's elephants, as reported by Fernando et al.?","[{""content"": ""debate.\n\nApplying DNA analysis and dating techniques to investigate the elephants' evolutionary path, researchers from the United States, India, and Malaysia, led by Don Melnick of the Center for Environmental Research and Conservation at Columbia, demonstrate that Borneo's elephants are not "", ""start_index"": 123070, ""end_index"": 123363}]",chunking_evaluation/pubmed/pubmed.txt
How many loci required for viability were detected using rrf-3 compared to N2?,"[{""content"": ""phenotype described in the literature\n\nWe next asked whether using the rrf-3 strain improved general phenotype detection or whether certain types of phenotypes were particularly increased compared to the N2 screens by Fraser et al. (2000) and Kamath et al. (2003). To do this, we analysed the detection rate of different types of Chromosome I loci. First, we looked at a set of 23 loci with nonlethal postembryonic mutant phenotypes. Using rrf-3, we reproducibly detected the published phenotype for 11 of these compared to only two for N2. Of 50 loci required for viability (essential genes), we detected 31 using rrf-3, compared to 33 for N2. Thus, detection of essential "", ""start_index"": 489068, ""end_index"": 489742}]",chunking_evaluation/pubmed/pubmed.txt
Which study explores the role of SERA genes in the erythrocytic cycle of Plasmodium falciparum?,"[{""content"": ""31206\nMiller SK  Good RT  Drew DR  Delorenzi M  Sanders PR    A subset of Plasmodium falciparum  SERA genes are expressed and appear to play an important role in the erythrocytic cycle J Biol Chem "", ""start_index"": 84717, ""end_index"": 84914}]",chunking_evaluation/pubmed/pubmed.txt
What is the role of Creative Commons licenses in the Massachusetts Institute of Technology's Open Courseware project?,"[{""content"": ""sciences.\n\nThe Massachusetts Institute of Technology's Open Courseware project publishes materials from its university courses under a version of the licenses, inviting students and educators from "", ""start_index"": 374031, ""end_index"": 374228}]",chunking_evaluation/pubmed/pubmed.txt
What specific conditions were used to simulate the addition of 1 μM activated Dsh in the degradation literature?,"[{""content"": ""in the legends of Table 1 and 2. In vitro conditions are simulated by switching off synthesis of \u03b2-catenin and axin (\u03bd\n12 = 0, \u03bd\n14 = 0 for t \u2265 0). Curve a: reference case (no addition of further compounds); curve b: addition of 0.2 nM axin; curve c: addition of 1 \u03bcM activated Dsh (deactivation "", ""start_index"": 407876, ""end_index"": 408172}, {""content"": ""e of Dsha, as well as the experimental support for it (Figure 2A and 2B, curves c and c\u2032). In both cases, there is an initial rapid decrease in \u03b2-catenin in the first 30 min to 1 h, followed by a "", ""start_index"": 410949, ""end_index"": 411145}]",chunking_evaluation/pubmed/pubmed.txt
What stage of the P. falciparum life cycle is described as having a 48-hour intraerythrocytic developmental cycle (IDC) with merozoite invasion and the formation of the parasitophorous vacuole?,"[{""content"": ""intraerythrocytic developmental cycle (IDC), at a 1-h timescale resolution.\n\nThe 48-h P. falciparum IDC (Figure 1A) initiates with merozoite invasion of red blood cells (RBCs) and is followed by the formation of the parasitophorous vacuole (PV) during the ring stage. The parasite then enters a "", ""start_index"": 6272, ""end_index"": 6567}]",chunking_evaluation/pubmed/pubmed.txt
What was the primary function of the rrf-3 mutant in the RNAi library feeding experiments?,"[{""content"": ""Feeding of this RNAi library to the standard wild-type laboratory strain Bristol N2 detected phenotypes for approximately 10% of the corresponding genes. To increase the number of genes for which a loss-of-function phenotype can be detected, we undertook a genome-wide RNAi screen using "", ""start_index"": 474356, ""end_index"": 474643}, {""content"": ""ing the number of genes with a phenotype by 23%. These additional phenotypes are distributed over different phenotypic classes. We also studied interexperimental variability in RNAi results and found persistent levels of false negatives. In addition, we used the RNAi phenotypes obtained with "", ""start_index"": 474831, ""end_index"": 475124}, {""content"": ""re detailed study of RNAi sensitivity of rrf-3 mutants using a set of 80 genes showed that rrf-3 is generally more sensitive to RNAi than wild-type worms (Simmer et al. 2002). RNAi phenotypes"", ""start_index"": 477844, ""end_index"": 478035}, {""content"": ""of the RNAi Effect\nWhen we compared the RNAi results that we obtained using N2 with the Fraser et al. (2000) data, we were surprised to find significant differences: we only detected phenotypes for"", ""start_index"": 481338, ""end_index"": 481535}, {""content"": ""5 clones for which no phenotype was found in the Fraser et al. (2000) and Kamath et al. (2003) N2 screens, the phenotypes of 423 clones were confirmed and 202 remained unconfirmed (Table 2; see Tabl"", ""start_index"": 484931, ""end_index"": 485129}]",chunking_evaluation/pubmed/pubmed.txt
Who are the authors of 'Identification and utilization of arbitrary correlations in models of recombination signal sequences'?,"[{""content"": ""7594539\nCowell LG  Davila M  Kepler TB  Kelsoe G   Identification and utilization of arbitrary correlations in models of recombination signal sequences Genome Biol 2002 3 research0072.1 "", ""start_index"": 333367, ""end_index"": 333553}]",chunking_evaluation/pubmed/pubmed.txt
At what specific points during a circadian day were brains taken for in situ hybridization in the fourth day of DD?,"[{""content"": ""LD.\n\n(C) Brains taken in the fourth day of DD. Six timepoints were taken throughout the circadian day. The sequence of panels from left to right is CT2, 6, 10, 14, 18, and 20, respectively. "", ""start_index"": 145011, ""end_index"": 145201}]",chunking_evaluation/pubmed/pubmed.txt
How many genes are induced during the ring to early trophozoite stage in P. falciparum IDC?,"[{""content"": ""expression phases based on their association with the common P. falciparum cytological stages.\n\nFollowing invasion, approximately 950 ORFs are induced during the ring and early trophozoite stage, including genes associated with the cytoplasmic transcriptional and "", ""start_index"": 19064, ""end_index"": 19328}]",chunking_evaluation/pubmed/pubmed.txt
Where in the brain was the strong PDF peptide signal detected in flies labeled with LNvs?,"[{""content"": ""as their projections (right panels show the overlay of both channels).\n\n(A) The brain is from flies with labeled LNvs (y w,UAS\u2013mCD8iGFP;pdf\u2013GAL4). Numerous cells at the periphery of the medulla have the vast majority of the bound PDF peptide signal within the brain. This region receives widespread "", ""start_index"": 151849, ""end_index"": 152148}]",chunking_evaluation/pubmed/pubmed.txt
What percentage of the Plasmodium falciparum genome is devoted to a system of antigenic determinants for host immune evasion?,"[{""content"": ""The Plasmodium parasite devotes 3.9% of its genome to a complex system of antigenic determinants essential for host immune evasion during a single developmental stage (Gardner et al. 2002). On the "", ""start_index"": 60060, ""end_index"": 60257}]",chunking_evaluation/pubmed/pubmed.txt
How do researchers examine discordance in topology derived from gene alignments?,"[{""content"": ""topology and two gene alignments that rejected that topology. For each case, we observed which taxon showed the most evident discordance in the topology derived from the exceptional gene "", ""start_index"": 212520, ""end_index"": 212707}, {""content"": ""alignment. We then removed the corresponding sequence from the alignment and the corresponding taxon from the widely favored topologies. Using an SH test, we determined whether the alignment continued to show significant conflict with the favored topologies.\n\nSupporting Information\nTable "", ""start_index"": 212707, ""end_index"": 212996}]",chunking_evaluation/pubmed/pubmed.txt
What strongly suggests that the Borneo elephant population was not derived from another population in the recent past according to microsatellite data?,"[{""content"": ""of elephants (Fernando and Lande 2000; McComb et al. 2001), such an explanation is unlikely.\n\nIn the assignment tests, all five Borneo genotypes, which included free-ranging as well as captive animals, were assigned to Borneo with significantly higher likelihoods than to other populations "", ""start_index"": 105496, ""end_index"": 105786}, {""content"": ""s should be managed separately from other Asian elephants.\n\nMaterials and Methods\n\nSamples.\nSamples consisted of dung from free-ranging and dung or blood from captive elephants. Sample collection, storage, and DNA extraction followed published protocols (Fernando et al. 2000, 2003). For mitochondrial and microsatellite analysis, respectively, 20 and 15 samples from Borneo (nine blood sam"", ""start_index"": 108466, ""end_index"": 108856}, {""content"": ""y\u2013Weinberg equilibrium for each locus and population were tested using the exact Hardy\u2013Weinberg test as implemented in GENEPOP 3.2 (Raymond and Rousset 1995), with the complete enumeration method (Louis and Dempster 1987) for loci with fewer than four alleles and with the Markov chain me"", ""start_index"": 111826, ""end_index"": 112114}]",chunking_evaluation/pubmed/pubmed.txt
How did the presence of insulin influence ARF1-GFP translocation to the plasma membrane in HeLa cells?,"[{""content"": ""ized on the surface of the cells. Ten minutes after the insulin stimulation, most of the ARF1-GFP was found on the plasma membrane. Similar results were obtained with HIRcB cells co-transfected "", ""start_index"": 241583, ""end_index"": 241777}, {""content"": ""ARNO (not shown), or that had been transfected with the inactive mutant E156K-ARNO (Fig. 3B). Since the endogenous levels of ARNO in HeLa cells were so low that the protein could not be detected in Western blots, it is reasonable to assume that under physiological conditions only a very small "", ""start_index"": 241966, ""end_index"": 242260}, {""content"": ""resence of insulin (Fig. 4 \u25cb), indicating that the association of ARF-GEF activity with the insulin receptor was dependent on the presence of insulin.Figure 4 The ARF-GDP exchange activity of the coimmunoprecipitates with the insulin receptor. The exchange activity was determined as descr"", ""start_index"": 244164, ""end_index"": 244453}]",chunking_evaluation/pubmed/pubmed.txt
What is the ratio of dissociation constants for β-catenin binding to APC and APC*/axin*/GSK3β?,"[{""content"": ""diffusion limits for a typical protein in an aqueous solution. The ratio K\n17/K\n8 = 10 of the dissociation constants characterizing the binding of \u03b2-catenin to APC and APC*/axin*/GSK3\u03b2, respectively, is based on previous experimental results demonstrating that \u03b2-catenin has a 10-fold "", ""start_index"": 399586, ""end_index"": 399871}]",chunking_evaluation/pubmed/pubmed.txt
What effect does increasing the concentration of Dsh have on β-catenin degradation according to the experimental results?,"[{""content"": ""concentration of either axin or GSK3\u03b2. There are, however, two pronounced differences in the effects of axin and GSK3\u03b2 on Dsh inhibition. Whereas axin activates \u03b2-catenin degradation over a "", ""start_index"": 418089, ""end_index"": 418279}, {""content"": ""so seen for the stimulated state. Recently, we investigated a new and important property of the Wnt pathway, namely that the degradation of axin (reaction 15) is dependent on APC (unpublished data). The degradation rate of axin is mathematically expressed in the following manne"", ""start_index"": 420384, ""end_index"": 420662}, {""content"": ""ects the concentration of the other component in different ways. An increase in the synthesis of axin results in a decrease in \u03b2-catenin, whereas increasing \u03b2-catenin synthesis leads to an increase in axin levels. This latter effect contrasts with effects observed upon changes of"", ""start_index"": 422871, ""end_index"": 423151}, {""content"": ""tion [6] with \u03c4W = 1/\u03bb = 20 min) starting at t\n0 = 0. The straight line for t < 0 corresponds to the steady state before pathway stimulation. The curves are obtained by numerical integration of the differential equation system (see Dataset S1). The various curves for \u03b2-catenin and for axin di"", ""start_index"": 425828, ""end_index"": 426121}, {""content"": ""imentally in extracts (Figure 7B), where 10 nM axin accelerates and 300 nM axin inhibits \u03b2-catenin degradation. The t\n\u00bd decrease for low amounts of added axin can be easily explained by the"", ""start_index"": 428979, ""end_index"": 429168}]",chunking_evaluation/pubmed/pubmed.txt
What is the half-life of β-catenin when nonaxin-dependent processes contribute 10% to its total degradation?,"[{""content"": ""under certain conditions. In our Xenopus system, these alternative pathways do not contribute greatly to the half-life of \u03b2-catenin. Experimentally, we have measured only a 1.5% contribution to total \u03b2-catenin degradation such that the half-life of \u03b2-catenin is 45 h when the axin-dependent processes are inhibited. If in some situations the nonaxin-dependent degradation contributed 10% to "", ""start_index"": 432126, ""end_index"": 432517}]",chunking_evaluation/pubmed/pubmed.txt
What is the range of new merozoites formed through the replication and division process?,"[{""content"": ""y replicating and dividing to form up to 32 new merozoites. The IDC represents all of the stages in "", ""start_index"": 6725, ""end_index"": 6825}]",chunking_evaluation/pubmed/pubmed.txt
What percentage of the Plasmodium genome is devoted to antigenic determinants for host immune evasion during a single developmental stage?,"[{""content"": ""determining the status of the lifecycle progression.\n\nThese findings also outline two contrasting properties of the P. falciparum genome. The Plasmodium parasite devotes 3.9% of its genome to a complex system of antigenic determinants essential for host immune evasion during a single "", ""start_index"": 59922, ""end_index"": 60207}]",chunking_evaluation/pubmed/pubmed.txt
What is the license type and citation for the PLoS Biology article?,"[{""content"": ""P\nDrosophila  clock can generate ectopic circadian clocks Cell 2003 113 755 766 12809606\n\nPMID: "", ""start_index"": 172326, ""end_index"": 172422}, {""content"": ""availability of complete sequences of genomes for clusters of related organisms presents the "", ""start_index"": 175590, ""end_index"": 175683}]",chunking_evaluation/pubmed/pubmed.txt
Which proteases are implicated in the merozoite invasion stage according to Greenbaum et al. 2002 and potentially localized apically in dense granules?,"[{""content"": ""mid-trophozoite stage, during peak hemoglobin catabolism, PMI and IV are maximally expressed in the ring stage along with the cysteine protease falcipain-1 (FP-1). FP-1 has recently been implicated in merozoite invasion and has been localized to the interior of the PV (Greenbaum et al. 2002). The "", ""start_index"": 48477, ""end_index"": 48775}, {""content"": ""ved to be involved in merozoite invasion and have been localized apically in the dense granules. Interestingly, there are two PfSUB1 protease homologues (PFE0355c and PFE0370c); PM X parallels the expression of PfSUB1 (PFE0370c), suggesting that aspartyl proteases may also be involved in"", ""start_index"": 50303, ""end_index"": 50591}, {""content"": "" proteins, such as EBA140 and EBL1; three RBPs (RBP1, RBP2a, RBP2b); and a previously unknown RBP homologue. In addition, components of two proteins secreted from the rhoptries to the host cell"", ""start_index"": 53272, ""end_index"": 53465}]",chunking_evaluation/pubmed/pubmed.txt
"How does the substitution of individual consensus elements H, Sc, and N affect RAG protein binding efficiency?","[{""content"": ""those obtained in the other assays. Substitution of the individual consensus elements H, Sc, and N, however, led to surprising results. While the consensus nonamer (N) sequence, as expected, increases the level of binding (up to that of J\u03b22.2), the consensus spacer (Sc) alone has no effect on binding at all, and the consensus heptamer (H) consistently reduces the level of binding. The "", ""start_index"": 297169, ""end_index"": 297557}, {""content"": ""d and no naturally occurring RSS has yet been identified that bears the published consensus spacer sequence, our results show that the presence of the most- or least-conserved nucleotides at all positions of the spacer dramatically alters recombination activities of RSSs that contain a consensus heptamer and/or nonamer. This suggests that a functional preference exists for certain "", ""start_index"": 299972, ""end_index"": 300356}]",chunking_evaluation/pubmed/pubmed.txt
What criteria were used to eliminate nonhomologous and paralogous sequences?,"[{""content"": ""Sequences\n\na\u2009Chromosome 1\n\n\nb\u2009Chromosome 2\n\nConstruction of the gene families.\nWe applied a stringent criterion for eliminating nonhomologous sequences and paralogous sequences, since both "", ""start_index"": 206348, ""end_index"": 206537}, {""content"": ""ive Genome Pairs\nFrequency distribution of the ratio (bit score/maximal bit score) in a BLASTP query of the proteins from E. coli on the proteins from the genomes of Salmonella enterica (solid line) and Vibrio cholerae (dashed line). The ratio of 0.3 allows identification of most homologs but e"", ""start_index"": 208927, ""end_index"": 209222}]",chunking_evaluation/pubmed/pubmed.txt
Which gene was identified in the cloning of genetic mutants and what mutation does it have?,"[{""content"": ""exon\n\nThe identification of mutations in unc-108 encoding the homolog of the small GTPase Rab2 is of particular interest. The RNAi phenotype of this gene gives a clue about the genetic property of "", ""start_index"": 494546, ""end_index"": 494743}, {""content"": ""d sensitivity to RNAi of rrf-3. However, besides the higher sensitivity, we may also be observing synthetic effects with rrf-3 (e.g., embryonic lethality, sterility, or developmental delay). "", ""start_index"": 497643, ""end_index"": 497834}, {""content"": """", ""start_index"": 500836, ""end_index"": 501227}]",chunking_evaluation/pubmed/pubmed.txt
Which recent study involving Drosophila suggests that LNvs control the prothoracic gland clock via PDF signaling?,"[{""content"": ""influences clock cells on the opposite side of the brain. A very recent study of the Drosophila prothoracic gland (PG) clock and eclosion rhythms suggests that the LNvs also control the PG clock "", ""start_index"": 156498, ""end_index"": 156693}]",chunking_evaluation/pubmed/pubmed.txt
What role does insulin play in the translocation of ARNO and ARF to the plasma membrane?,"[{""content"": ""[34].\n\nOur studies showed that insulin promoted the translocation of myc-tagged ARNO constructs to the plasma membrane. This result is in agreement with data previously published by Venkateswarlu et "", ""start_index"": 248659, ""end_index"": 248858}, {""content"": ""ll fraction of it is bound to the Golgi membrane at any time [36]. It is not surprising, therefore, that some ARF1 may bind to the plasma membrane after being locally activated by ARNO, which is in turn recruited to the cell surface by the action of insulin. It should be remembered that our cell"", ""start_index"": 250415, ""end_index"": 250711}, {""content"": ""ve effects of E156K-ARNO were not unexpected, since this mutant contains the intact PH and the CC domains and is therefore likely to compete with endogenous ARNO. The dominant negative effect of the"", ""start_index"": 252367, ""end_index"": 252565}]",chunking_evaluation/pubmed/pubmed.txt
Which publications relate to the sequence evolution in bacterial endosymbionts with extreme base composition?,"[{""content"": ""sequence data sets Nat Genet 2001 28 281 285 11431701\nClark MA  Moran NA  Baumann P   Sequence evolution in bacterial endosymbionts having extreme base composition Mol Biol Evol 1999 16 1586 1598 10555290\nda Silva ACR  Ferro JA  Reinach FC  Farah CS  Furlan LR    Comparison of the genomes "", ""start_index"": 215164, ""end_index"": 215454}]",chunking_evaluation/pubmed/pubmed.txt
